label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62
Forward,0.6190282106399536,0.5816635489463806,0.5445214509963989,0.5158585906028748,0.4909646213054657,0.5498971939086914,0.520983099937439,0.5062208771705627,0.4952634871006012,0.5708873867988586,0.5543681979179382,0.5484314560890198,0.5459941625595093,0.5933066606521606,0.5882678627967834,0.5900934934616089,0.5925915837287903,0.6160968542098999,0.6190038323402405,0.6233600378036499,0.6271877288818359,0.66552734375,0.667902410030365,0.6630086898803711,0.6549828052520752,0.6495499014854431,0.5655547380447388,0.523022472858429,0.4974125623703003,0.4726806581020355,0.544082760810852,0.4858306050300598,0.44837242364883423,0.4157714247703552,0.5380896925926208,0.4834594428539276,0.44868332147598267,0.41968077421188354,0.5421397686004639,0.4982970952987671,0.4713455140590668,0.4473356604576111,3.169155320392747e-07,-0.019577519968152046,-0.03297946974635124,-0.044668763875961304,-0.05640851706266403,-0.023179955780506134,-0.03673911467194557,-0.0474349707365036,-0.05531688779592514,-0.02392340637743473,-0.03538928180932999,-0.0445655882358551,-0.051662761718034744,-0.02700940892100334,-0.039962757378816605,-0.04865134507417679,-0.05445973575115204,-0.03174225240945816,-0.04311559721827507,-0.04762274771928787,-0.05044381693005562
Forward,0.6223700046539307,0.5856865644454956,0.5476219654083252,0.5184563398361206,0.4932750463485718,0.5523902177810669,0.5238410234451294,0.5096034407615662,0.4994623363018036,0.5734424591064453,0.5574391484260559,0.5514114499092102,0.5493438243865967,0.5962262153625488,0.5919337868690491,0.5931196212768555,0.595420241355896,0.6195058226585388,0.6232261657714844,0.6276696920394897,0.6315574645996094,0.6656152009963989,0.6682038903236389,0.6622241139411926,0.6533765196800232,0.6488519310951233,0.5648934245109558,0.5224294066429138,0.496686726808548,0.47220903635025024,0.5433738231658936,0.4847269654273987,0.4472547769546509,0.41575098037719727,0.5372868776321411,0.48140954971313477,0.44746658205986023,0.4195149540901184,0.5417870283126831,0.49738186597824097,0.4693732261657715,0.44439131021499634,3.1521966548098135e-07,-0.01918855868279934,-0.031996749341487885,-0.043059393763542175,-0.05424850806593895,-0.02272435463964939,-0.035841140896081924,-0.04627375304698944,-0.0539676807820797,-0.023631641641259193,-0.03444470092654228,-0.04327273368835449,-0.05015554279088974,-0.026882996782660484,-0.039525698870420456,-0.04825124889612198,-0.05416792258620262,-0.0317116305232048,-0.04333715885877609,-0.04816879332065582,-0.051194917410612106
Forward,0.6213740110397339,0.5855433344841003,0.5478602647781372,0.5189945101737976,0.494062215089798,0.5516247153282166,0.5234949588775635,0.5093672275543213,0.4999622702598572,0.5728716850280762,0.5570229291915894,0.5512604713439941,0.5498169660568237,0.5956293940544128,0.5914848446846008,0.5927790403366089,0.5951330661773682,0.6188346147537231,0.6234374046325684,0.6283989548683167,0.6326972246170044,0.6647632122039795,0.6685067415237427,0.6630533337593079,0.654119610786438,0.6490828990936279,0.5653926730155945,0.523024320602417,0.49694955348968506,0.4721037745475769,0.543144702911377,0.48461318016052246,0.4469781517982483,0.41520094871520996,0.5361557006835938,0.48041173815727234,0.4466496706008911,0.4186049699783325,0.539840817451477,0.49634307622909546,0.4688781201839447,0.4443453550338745,3.245830555442808e-07,-0.020230155438184738,-0.03322650492191315,-0.04429375007748604,-0.05538344755768776,-0.022992979735136032,-0.036078330129384995,-0.04642460122704506,-0.054046064615249634,-0.023348864167928696,-0.03384530171751976,-0.04246523231267929,-0.04927204176783562,-0.02621803618967533,-0.038574736565351486,-0.04715053364634514,-0.05309132859110832,-0.03083878755569458,-0.04250810295343399,-0.04759811982512474,-0.050830189138650894
Forward,0.6258736848831177,0.587912917137146,0.5501418113708496,0.5218254923820496,0.4974993169307709,0.5566380023956299,0.5288885831832886,0.5145443081855774,0.5036524534225464,0.5778849124908447,0.5628359317779541,0.5567401647567749,0.5540385842323303,0.6008013486862183,0.5975909233093262,0.5989210605621338,0.6010441780090332,0.6242462396621704,0.6290075778961182,0.6335904002189636,0.6373240351676941,0.6623977422714233,0.6648873090744019,0.6594574451446533,0.6503263115882874,0.645657479763031,0.5641685724258423,0.5216779112815857,0.4959842562675476,0.47163254022598267,0.5421726703643799,0.48378807306289673,0.4470271170139313,0.41584154963493347,0.5355645418167114,0.48021572828292847,0.4464254379272461,0.4183273911476135,0.54008549451828,0.4964529573917389,0.4684551954269409,0.4432222545146942,2.9589872951873986e-07,-0.017332982271909714,-0.029123786836862564,-0.03956339508295059,-0.050159357488155365,-0.02061629854142666,-0.03335969150066376,-0.04354079067707062,-0.0510835237801075,-0.02227068319916725,-0.03252605348825455,-0.04101331904530525,-0.047657255083322525,-0.026133988052606583,-0.03827514871954918,-0.046344295144081116,-0.05176376551389694,-0.03145206719636917,-0.04248594865202904,-0.04662813991308212,-0.049120668321847916
Forward,0.6256076693534851,0.588071346282959,0.5506428480148315,0.522197961807251,0.49797913432121277,0.5567784309387207,0.5289355516433716,0.5144569277763367,0.5043876767158508,0.5779386162757874,0.5618916153907776,0.5557197332382202,0.5535349249839783,0.6005246043205261,0.5968319773674011,0.5985057950019836,0.6010125875473022,0.6234249472618103,0.6283451914787292,0.63327956199646,0.6376091837882996,0.6623006463050842,0.6659532189369202,0.6608917713165283,0.6523842811584473,0.648246169090271,0.5640622973442078,0.5209788084030151,0.4949601888656616,0.4704926908016205,0.5419129729270935,0.48358353972435,0.44655072689056396,0.41498059034347534,0.5347492098808289,0.47830280661582947,0.4447903335094452,0.41713035106658936,0.5387436151504517,0.4950174391269684,0.4678306579589844,0.443650484085083,3.111578905645729e-07,-0.017984824255108833,-0.030123833566904068,-0.04080364108085632,-0.05165088549256325,-0.021024730056524277,-0.03360582888126373,-0.04375484958291054,-0.05123426392674446,-0.022257493808865547,-0.032200511544942856,-0.04063908010721207,-0.0473686046898365,-0.02573677897453308,-0.037312302738428116,-0.0452863909304142,-0.0508711114525795,-0.03079035133123398,-0.041589993983507156,-0.04579417407512665,-0.04838893935084343
Forward,0.6363793611526489,0.5971431136131287,0.5590429902076721,0.5302536487579346,0.5054462552070618,0.5660498738288879,0.5386996269226074,0.5245126485824585,0.5137337446212769,0.5874077081680298,0.5715148448944092,0.564837634563446,0.5615933537483215,0.6106933355331421,0.6070189476013184,0.6082559823989868,0.6100185513496399,0.6344507932662964,0.6394467949867249,0.6437347531318665,0.6471351385116577,0.6651747822761536,0.6682775616645813,0.6627652645111084,0.6547530293464661,0.6501301527023315,0.563757598400116,0.5215851068496704,0.49583789706230164,0.4712539613246918,0.5422902703285217,0.48450225591659546,0.4479559361934662,0.4169069528579712,0.5362820625305176,0.4791896343231201,0.44439172744750977,0.4150463938713074,0.5417051315307617,0.4975971579551697,0.4689580798149109,0.44267746806144714,2.925290800703806e-07,-0.01775042712688446,-0.029640765860676765,-0.04021679237484932,-0.05083521455526352,-0.01871718280017376,-0.030285688117146492,-0.04021410644054413,-0.047881320118904114,-0.020308541133999825,-0.029980160295963287,-0.03889536112546921,-0.045947056263685226,-0.02422100119292736,-0.03594661504030228,-0.04470927268266678,-0.05084266513586044,-0.02962881699204445,-0.040714167058467865,-0.04538581520318985,-0.048363097012043
Forward,0.6393654346466064,0.6004522442817688,0.5623654127120972,0.5332410931587219,0.5085014700889587,0.5701073408126831,0.5431556701660156,0.529129147529602,0.5186036229133606,0.5918594002723694,0.5764200687408447,0.5702588558197021,0.5677444934844971,0.6155473589897156,0.611503005027771,0.6126603484153748,0.6147385835647583,0.6397922039031982,0.6450671553611755,0.6497063636779785,0.6535987854003906,0.6683369874954224,0.6684685945510864,0.6608090400695801,0.6519426703453064,0.6494198441505432,0.5631503462791443,0.5201380848884583,0.49447670578956604,0.4702546000480652,0.542602002620697,0.4835067391395569,0.44647446274757385,0.4155080318450928,0.5374484658241272,0.480556845664978,0.4459671676158905,0.4173145890235901,0.5434470176696777,0.499015212059021,0.4702610969543457,0.4445667266845703,2.9663439704563643e-07,-0.01623552478849888,-0.027542950585484505,-0.037772342562675476,-0.04829484224319458,-0.01858663186430931,-0.03063432313501835,-0.0406709723174572,-0.048229511827230453,-0.02088930644094944,-0.030569056048989296,-0.03905274718999863,-0.04567090794444084,-0.025381911545991898,-0.03713078796863556,-0.045439161360263824,-0.051106855273246765,-0.03125482797622681,-0.042117469012737274,-0.0464005209505558,-0.04902631416916847
Forward,0.6396040320396423,0.6009394526481628,0.5622965097427368,0.5332536697387695,0.5091384649276733,0.5702347755432129,0.5431419610977173,0.5291103720664978,0.5197153091430664,0.5920208096504211,0.5763146281242371,0.5698714256286621,0.5676726698875427,0.6155486702919006,0.6118376851081848,0.6127800345420837,0.6147962212562561,0.6396750807762146,0.6444488763809204,0.6493310928344727,0.6535939574241638,0.6668126583099365,0.6697745323181152,0.6618011593818665,0.6530044674873352,0.6500445008277893,0.5632734894752502,0.5201479196548462,0.49383294582366943,0.46970492601394653,0.5423113703727722,0.482759565114975,0.445625901222229,0.4149875044822693,0.5362024903297424,0.478379487991333,0.4439844489097595,0.41580498218536377,0.5414165258407593,0.4971288740634918,0.46956175565719604,0.44528162479400635,2.960565836929163e-07,-0.01604214683175087,-0.026630602777004242,-0.03611600399017334,-0.04589278995990753,-0.017152467742562294,-0.02842750772833824,-0.03791769966483116,-0.04497462138533592,-0.019208308309316635,-0.027842015027999878,-0.0356292650103569,-0.04175790399312973,-0.023559128865599632,-0.03435112535953522,-0.04239427670836449,-0.048046890646219254,-0.02934126928448677,-0.03981927037239075,-0.04395643621683121,-0.04650257155299187
Forward,0.6514286994934082,0.6112689971923828,0.5721091032028198,0.5433690547943115,0.5192278623580933,0.580569863319397,0.5546863079071045,0.5406294465065002,0.5299868583679199,0.6024066805839539,0.5876204967498779,0.5818154215812683,0.5798335075378418,0.6265366673469543,0.6223483085632324,0.6233176589012146,0.625220537185669,0.6516023874282837,0.6563352942466736,0.6605233550071716,0.664170503616333,0.6726064682006836,0.6730021834373474,0.66466224193573,0.6548526883125305,0.6493428945541382,0.5642971396446228,0.5196401476860046,0.49297255277633667,0.46828243136405945,0.5442511439323425,0.4848719537258148,0.4477083086967468,0.4171430468559265,0.5388409495353699,0.48036783933639526,0.4463108777999878,0.41823628544807434,0.544760525226593,0.4998711943626404,0.4717857241630554,0.4468640089035034,2.8511300342870527e-07,-0.016775185242295265,-0.027824167162179947,-0.0377647802233696,-0.047698669135570526,-0.016699183732271194,-0.02799237333238125,-0.03808647766709328,-0.04582906886935234,-0.018616175279021263,-0.027187546715140343,-0.03524400666356087,-0.041730478405952454,-0.02297358401119709,-0.033066198229789734,-0.04047088697552681,-0.04589037969708443,-0.028994787484407425,-0.03845006972551346,-0.042058348655700684,-0.04437747970223427
Forward,0.6580730080604553,0.6171194911003113,0.5775786638259888,0.5481792688369751,0.5227051973342896,0.5861157178878784,0.5594220161437988,0.5455853343009949,0.5352460741996765,0.6083678007125854,0.5932948589324951,0.5877170562744141,0.5862298607826233,0.6321290731430054,0.6293088793754578,0.6307938098907471,0.6332916021347046,0.6564392447471619,0.6615791320800781,0.6665008068084717,0.6708827614784241,0.6708940267562866,0.670936644077301,0.6642379760742188,0.6527188420295715,0.6466734409332275,0.5655648708343506,0.5202333927154541,0.4943593442440033,0.4699417054653168,0.5450467467308044,0.48696866631507874,0.45052558183670044,0.4195983409881592,0.5395072102546692,0.4844399094581604,0.4505615532398224,0.42244184017181396,0.5449199080467224,0.5019000768661499,0.47485044598579407,0.45077377557754517,2.915464278885338e-07,-0.018629850819706917,-0.030773989856243134,-0.04136280715465546,-0.051782820373773575,-0.019411342218518257,-0.03180158510804176,-0.04205343499779701,-0.04969916120171547,-0.02050691284239292,-0.030146893113851547,-0.03855108842253685,-0.045250117778778076,-0.02417626604437828,-0.035636056214571,-0.0437181293964386,-0.0493725910782814,-0.029575707390904427,-0.04029771313071251,-0.04465055838227272,-0.04737751558423042
